Student_ID,Name,Learning_Style,Subject,Cognitive_Score,Hours_Studied_per_week,Previous_Performance,Difficulty_Level,attention_score,avg_study_time_min,quiz_score_pct,prior_knowledge_level,num_attempts,engagement_events,sleep_hours,preferred_learning_style,recommended_path,suggested_topic_focus
S1000,Student_1,Kinesthetic,Chemistry,54.8,11.4,C,Medium,72.5,85.7,38.1,0,2,4,8,0,1,Practice Problems
S1001,Student_2,Mixed,English,68.5,7.4,D,Easy,62.9,91.8,58,1,3,3,4.9,2,1,Practice Problems
S1002,Student_3,Visual,Chemistry,69.4,7.9,A,Easy,74.7,107.5,70.1,1,2,2,8.6,0,1,Practice Problems
S1003,Student_4,Kinesthetic,Mathematics,54.3,4,C,Medium,87.8,106.6,70.9,1,1,2,5,1,2,Advanced Concepts
S1004,Student_5,Kinesthetic,English,93,7.9,B,Medium,61.5,33.7,61,1,4,1,8.2,1,1,Practice Problems
S1005,Student_6,Mixed,Mathematics,72.1,6.8,A,Easy,61.5,46.9,82.5,1,4,2,8.4,0,1,Practice Problems
S1006,Student_7,Visual,English,47.1,9.3,A,Easy,88.7,90.5,48.6,1,3,5,5.7,1,2,Advanced Concepts
S1007,Student_8,Visual,English,74.8,4.7,D,Hard,76.5,90.4,67.2,1,1,6,6.5,2,1,Practice Problems
S1008,Student_9,Kinesthetic,Physics,50.4,10.1,C,Hard,58,90.5,72.4,0,2,4,5.7,0,1,Practice Problems
S1009,Student_10,Auditory,Mathematics,76.8,14.1,C,Medium,73.1,190.6,80.3,2,3,2,6.7,0,2,Advanced Concepts
S1010,Student_11,Kinesthetic,Chemistry,82.4,7.6,B,Easy,58,92.1,84.2,1,6,5,6.6,2,1,Practice Problems
S1011,Student_12,Kinesthetic,Chemistry,52.7,9.6,D,Easy,58,109.1,47.5,1,3,4,7.9,1,1,Practice Problems
S1012,Student_13,Kinesthetic,Mathematics,79.5,10.8,B,Easy,68.6,103.6,39.3,1,4,3,8.6,2,1,Practice Problems
S1013,Student_14,Kinesthetic,Chemistry,71.2,6.4,D,Hard,36.3,94.5,95.6,2,3,4,8.7,2,1,Practice Problems
S1014,Student_15,Mixed,Chemistry,77.3,8.9,B,Easy,39.1,65.5,76.6,0,3,0,6.3,2,1,Practice Problems
S1015,Student_16,Visual,Mathematics,93.5,8.1,B,Medium,56.6,97.8,55,1,6,2,6.7,2,1,Practice Problems
S1016,Student_17,Mixed,English,61.3,8.4,B,Easy,49.8,51.8,100,1,5,2,5,0,1,Practice Problems
S1017,Student_18,Mixed,Mathematics,53.7,4.9,B,Medium,69.7,67.9,72.3,1,3,3,6,0,1,Practice Problems
S1018,Student_19,Mixed,English,51.7,8.1,C,Medium,51.4,60.4,93.6,0,1,5,8.2,2,1,Practice Problems
